Mineral,Si,Ti,Mn,Cr,Ni,O,Mg,Fe,Comment
srp,0.02,0.4273,0.1568,8.4314,0.5432,24.5191,0.8825,61.1706,23C-MO4-ox1
,19.4772,-0.005,0.0853,-0.0012,0.2666,43.0305,30.0259,7.6219,sjiol_ss
srp,0.0175,0.4908,0.1615,8.5605,0.5807,24.9371,0.9406,60.0201,23C-MO4-ox2
srp,0.0125,0.4276,0.1673,8.0824,0.5583,24.8685,0.9084,60.7955,23C-MO4-ox3
srp,0.0143,0.5173,0.181,8.1994,0.5666,25.1454,1.0875,60.1956,23C-MO4-ox4
srp,0.0116,0.4586,0.1743,8.2774,0.5857,24.6812,1.1042,60.8217,23C-MO4-ox5
srp,0.0075,0.4761,0.1884,8.3825,0.543,24.8611,1.1361,60.454,23C-MO4-ox6
srp,0.009,0.526,0.1747,8.4998,0.5447,25.1308,1.1084,60.6327,23C-MO4-ox7
srp,0.011,0.4681,0.1807,8.4334,0.5681,25.2634,1.123,59.6869,23C-MO4-ox8
srp,0.112,0.4606,0.1812,8.3611,0.5848,25.3086,1.2903,59.4608,23C-MO4-ox9
srp,0.0124,0.4559,0.1902,8.4589,0.6046,25.089,1.1482,59.9646,23C-MO4-ox10
srp,0.004,0.4983,0.1855,9.2917,0.6061,24.7787,0.8965,59.1426,23C-MO4-ox11
srp,0.0233,0.5014,0.2091,8.1722,0.6135,24.8663,1.0832,60.2864,23C-MO4-ox12
srp,0.0018,0.452,0.1745,8.8266,0.5346,24.967,0.9702,60.0638,23C-MO4-ox13
srp,-0.0147,0.4768,0.22,8.7959,0.5189,25.2399,1.0995,59.499,23C-MO4-ox14
srp,0.011,0.4294,0.1739,8.6273,0.5697,25.0386,1.0919,60.0609,23C-MO4-ox15
srp,-0.0116,0.4553,0.1615,8.6212,0.5669,24.7938,0.7969,60.6114,23C-MO4-ox16
srp,0.0103,0.4907,0.161,8.8017,0.6207,25.3253,0.9058,60.2856,23C-MO4-ox17
srp,0.0024,0.4946,0.1754,8.7192,0.5918,25.4333,1.2479,59.7728,23C-MO4-ox18
srp,0.3467,0.0107,0.5736,0.0152,0.0073,26.1655,0.8731,69.2057,23C-MO4-ox19
srp,0.0217,0.5126,0.164,8.8387,0.5865,25.2808,1.0881,59.5743,23C-MO4-ox20
srp,-0.0106,0.1377,0.2739,7.1392,0.7218,24.9776,0.7029,62.0503,23C-06C-ox1
srp,-0.0084,0.1451,0.2647,7.5954,0.7338,24.4823,0.8811,62.1617,23C-06C-ox2
srp,0.0081,0.1302,0.2359,7.2319,0.7984,25.4284,0.8306,61.8185,23C-06C-ox3
srp,0.0031,0.1434,0.2715,8.4725,0.8384,25.2233,1.02,60.8537,23C-06C-ox4
srp,0.0006,0.1452,0.2961,8.5098,0.7619,24.888,0.8809,60.9997,23C-06C-ox5
clc,14.7292,0.0086,0.0464,1.1589,0.2104,41.9615,21.849,3.4056,23C-06C-clc7
clc,0.4687,0.0103,0.1442,0.9133,0.0008,27.5062,0.6001,67.0949,23C-06C-clc8
clc,15.5245,0.0089,0.0174,1.8364,0.2361,45.239,22.3462,3.4288,23C-06C-clc9
clc,0.042,0.1065,0.4755,9.8578,0.8783,25.1294,0.7213,58.165,23C-06C-clc10
clc,-0.0118,0.143,0.3031,9.8785,0.9669,25.123,0.8473,58.7586,23C-06C-clc11
clc,0.0339,0.1171,0.5559,9.5033,0.5272,26.0699,0.5983,58.9167,23C-06C-clc12
clc,0.0074,0.143,0.2935,9.5445,0.9413,24.8137,1.0091,58.9136,23C-06C-clc13
srp,0.0162,0.1341,0.4078,9.6471,0.8181,24.972,0.7133,59.0917,23C-06C-ox14
srp,0.0007,0.13,0.2611,9.2874,0.8725,24.8885,0.9242,60.2426,23C-06C-ox15
srp,-0.0038,0.1508,0.2589,9.9727,0.8597,25.033,1.2975,58.7509,23C-06C-ox16
srp,0.0455,0.1562,0.2705,10.3972,0.8341,24.8324,1.3017,57.6059,23C-06C-ox17
srp,-0.0034,0.1491,0.2537,9.5891,0.8302,24.8046,1.7039,58.467,23C-06C-ox18
srp,0.0143,0.14,0.2615,10.1305,0.8608,24.9899,1.2686,58.5401,23C-06C-ox19
srp,0.0015,0.158,0.2487,9.7127,0.8314,24.743,1.5958,58.6845,23C-06C-ox20
srp,0.0175,0.134,0.2381,9.2087,0.6374,25.2137,1.026,59.9283,23C-06C-ox21
,13.879,0.0092,3.2017,0.0078,-0.0208,29.4817,0.3323,51.3362,fayalite
clc,0.0092,0.226,0.2322,6.0702,1.012,25.8318,0.5335,62.0847,23C-M01-ox1
clc,0.0003,0.2133,0.2198,5.4833,0.9566,24.8607,0.5348,63.2198,23C-M01-ox2
srp,0.0124,0.1918,0.2373,5.9665,1.0821,25.3496,0.5503,62.4075,23C-M01-ox3
srp,-0.0035,0.2016,0.1613,5.6756,0.9623,25.0866,0.6674,63.7276,23C-M01-ox4
srp,-0.006,0.1288,0.0728,2.9934,0.9071,25.004,0.7012,66.0042,23C-M01-ox5
srp,0.0044,0.1782,0.1881,6.4052,0.797,25.2682,0.5459,62.3619,23C-M01-ox6
srp,0.0321,0.1031,0.0794,1.9856,0.8227,25.473,0.4455,66.5824,23C-M01-ox7
srp,0.0611,-0.0008,2.7804,0.0042,0.4528,25.5225,0.5223,67.0918,23C-M01-ox8
srp,0.009,0.2319,0.2768,7.3436,0.7767,25.0859,0.5762,61.0483,23C-M01-ox9
srp,0.0065,0.2155,0.2206,7.0663,0.7867,25.0064,0.6736,61.9063,23C-M01-ox10
srp,-0.0017,0.2375,0.2275,7.9257,0.8009,25.2729,0.7196,59.9522,23C-M01-ox11
srp,0.022,0.2122,0.2135,6.9254,0.8118,25.5863,0.832,61.2464,23C-M01-ox12
srp,0.0229,0.0528,0.0603,1.051,0.786,24.8863,0.4195,68.993,23C-M01-ox13
vein,0.063,-0.0028,3.6582,0.003,0.5814,25.0119,0.3482,65.9795,23C-M01-ox14
srp,0.0014,0.1948,0.2392,7.8374,0.8285,25.5586,0.7247,59.8081,23C-M01-ox15
vein,0.2019,-0.007,0.9889,0.0028,0.2374,25.3648,0.4903,68.1557,23C-M01-ox16
srp,0.0104,0.1772,0.22,7.6458,0.89,24.8915,0.8406,60.9786,23C-M01-ox17
srp,-0.0098,0.1945,0.2648,8.5738,0.8215,24.7751,0.6013,60.2756,23C-M01-ox18
vein,0.0529,-0.0063,3.6406,0.0052,0.6066,25.075,0.3179,66.2599,23C-M01-ox19
srp,0.1325,0.0005,2.301,0.0032,0.5059,25.154,0.5091,66.2628,23C-M01-ox20
srp,0.0067,0.077,0.035,0.1306,0.6509,24.3051,0.4007,69.7814,23C-M01-ox21
srp,-0.0053,0.138,0.1498,4.6843,0.7539,24.3135,1.1977,64.3958,23C-M08-ox1
srp,0.0015,0.1346,0.1324,4.6226,0.7706,24.1823,1.1885,64.1509,23C-M08-ox2
srp,-0.0043,0.1175,0.1105,4.5401,0.739,24.3644,0.9168,64.9799,23C-M08-ox3
srp,0.0137,0.1385,0.1496,4.7864,0.758,24.3812,1.2789,64.3803,23C-M08-ox4
srp,0.0044,0.1555,0.1533,4.7922,0.74,24.9403,1.3593,63.9067,23C-M08-ox5
srp,-0.0064,0.1572,0.1287,4.6656,0.7679,24.5378,1.3627,63.5917,23C-M08-ox6
srp,0.0127,0.1506,0.1243,4.7396,0.7888,24.8111,1.4452,63.7486,23C-M08-ox7
srp,0.0098,0.1392,0.1312,4.7112,0.7641,24.3744,1.4434,63.8776,23C-M08-ox8
srp,0.0066,0.1386,0.1086,4.6535,0.7359,24.1134,1.4555,63.9125,23C-M08-ox9
srp,0.0177,0.139,0.1234,4.8668,0.7516,24.5506,1.1793,63.9354,23C-M08-ox10
srp,0.0027,0.1412,0.1423,4.4942,0.7755,24.1358,1.3012,64.1433,23C-M08-ox11
srp,0.0013,0.1636,0.1452,4.3676,0.7851,24.3528,1.3606,63.2246,23C-M08-ox12
srp,0.0142,0.1583,0.1507,4.3694,0.7984,24.0967,1.5225,63.4459,23C-M08-ox13
early-clc,0.0048,0.1593,0.1208,4.6563,0.7346,24.45,1.8836,63.7458,23C-M08-ox14
early-clc,0.0193,0.1682,0.1505,4.6517,0.7269,24.361,1.8349,63.5392,23C-M08-ox15
early-clc,0.003,0.1675,0.138,4.7508,0.7848,24.5221,1.8196,63.7761,23C-M08-ox16
early-clc,0.0097,0.1733,0.1718,4.7512,0.7488,24.538,1.7995,63.596,23C-M08-ox17
early-clc,0.0554,0.1876,0.1721,4.4388,0.7644,23.5186,1.9425,63.0897,23C-M08-ox18
early-clc,0.0052,0.1722,0.1449,4.593,0.7373,24.9825,1.8467,63.5626,23C-M08-ox19
early-clc,-0.0033,0.151,0.1563,4.9531,0.736,24.9368,1.8743,62.9299,23C-M08-ox20
srp,0.0011,0.1304,0.1102,4.5141,0.7692,23.991,1.3637,63.756,23C-M08-ox21
srp,0.0129,0.1288,0.1069,4.5923,0.854,24.3653,1.2008,64.3791,23C-M08-ox22
srp,0.1403,4.9178,0.0727,2.5007,0.0434,25.1739,0.4325,62.2677,23C-M08-ox23
srp,0.026,4.8287,0.0136,2.653,0.0677,26.8372,0.2676,61.1487,23C-M08-ox24
srp,0.4895,5.3379,0.1831,2.6688,0.0565,26.4843,0.8803,59.418,23C-M08-ox25
srp,0.0263,5.2223,0.041,2.4292,0.06,25.2439,0.2677,61.2823,23C-M08-ox26
srp,0.0033,0.1332,0.1041,4.5996,0.8541,23.75,1.0406,64.6316,23C-M08-ox27
srp,0.006,0.1472,0.1339,4.4734,0.7996,24.2856,1.4642,63.5777,23C-M08-ox28
srp,0.0133,0.1519,0.1335,4.1806,0.7552,24.0486,1.3299,62.9989,23C-M08-ox29
srp,0.01,0.1698,0.1585,4.4065,0.8639,24.4335,1.4189,63.247,23C-M08-ox30
